text,label
"This is a fantastic product!",positive
"I am extremely disappointed with the service.",negative
"The quality of the item is excellent.",positive
"The delivery was late and the item was damaged.",negative
"Amazing experience, would buy again!",positive
"Terrible support, will not recommend.",negative
"Very satisfied with my purchase.",positive
"Not worth the money, totally dissatisfied.",negative
"Great value for the price!",positive
"The worst product I have ever used.",negative
"Absolutely love it! Worth every penny.",positive
"Completely ruined my expectations.",negative
"Perfect fit, I’m so happy with it!",positive
"Extremely poor quality, do not buy.",negative
"I’m so impressed with this product!",positive
"Will never purchase from here again.",negative
"Exceeded my expectations by far.",positive
"Disappointing purchase, not as described.",negative
"Would highly recommend this to anyone!",positive
"Terrible experience, I regret buying this.",negative
"This is exactly what I needed, perfect!",positive
"Never again, a total waste of money.",negative
"Great performance, highly recommend.",positive
"Disastrous purchase, it broke within days.",negative
"I’m going to buy more of these!",positive
"Such a letdown, do not waste your time.",negative
"Totally satisfied with my purchase.",positive
"Customer service was a nightmare.",negative
"Couldn’t be happier with this purchase!",positive
"Poorly made, would not buy again.",negative
"Absolutely amazing quality!",positive
"Terrible packaging and delivery service.",negative
"I’m in love with this product!",positive
"Totally disappointed, would not recommend.",negative
"Great buy, worth the price!",positive
"The item is nothing like the description.",negative
"Best product I’ve bought in a long time.",positive
"Such a bad purchase, it stopped working.",negative
"Excellent product, would buy again.",positive
"Such a waste of money, don’t buy it.",negative
"Really pleased with how this turned out.",positive
"Nothing like I expected, poor quality.",negative
"Highly satisfied, this exceeded my hopes!",positive
"Extremely dissatisfied, the worst experience.",negative
"Love everything about this product.",positive
"Don’t waste your money on this, it’s awful.",negative
"I would buy this again without hesitation!",positive
"Terrible quality, poor value for money.",negative
"Perfect product, great price, would recommend.",positive
"Awful experience, never buying again.",negative
"Love how it works, totally recommend!",positive
"Such a disappointment, didn’t even work.",negative
"Completely satisfied, it works great!",positive
"Unusable, I want a refund.",negative
"Great experience overall, thank you!",positive
"I’m upset with the product, very bad.",negative
"So happy with this purchase, great quality!",positive
"Never buying from this seller again.",negative
"Really good quality, very impressed.",positive
"Very unhappy with my purchase.",negative
"Perfectly works as expected, very happy!",positive
"Not what I expected at all, very disappointed.",negative
"Impressed with the overall quality.",positive
"I will never recommend this to anyone.",negative
"Absolutely amazing product, highly recommend!",positive
"Extremely disappointed, such a rip-off.",negative
"This product is definitely worth the price.",positive
"Don’t buy this, you’ll regret it.",negative
"Best decision I’ve made in a long time.",positive
"Terrible, not even close to expectations.",negative
"Really satisfied, would buy again!",positive
"Doesn’t work as advertised, very unhappy.",negative
"This is a must-have product!",positive
"I hate this, such a poor purchase.",negative
"Great product, I will definitely buy again.",positive
"Do not buy, it’s a scam.",negative
"I’m so pleased with this purchase!",positive
"Horrible experience, poor customer service.",negative
"This is the best product I’ve used!",positive
"Completely unreliable, very disappointed.",negative
"Highly recommended, it’s great!",positive
"Very poor quality, don’t waste your money.",negative
"Perfect purchase, couldn’t be happier.",positive
"Such a bad product, don’t bother.",negative
"Excellent value for money, highly recommend!",positive
"Do not buy, you’ll be disappointed.",negative
"Superb quality, very satisfied with it.",positive
"Absolutely terrible, do not buy this.",negative
"Fantastic experience, I would buy more!",positive
"Completely unhappy with the quality.",negative
"Best buy of the year, I love it!",positive
"Terrible, would not recommend to anyone.",negative
"Very pleased with my purchase, thank you!",positive
"This product broke after two uses.",negative
"Totally worth it, great value!",positive
"Very poor quality, not worth the money.",negative
"Highly recommend this product!",positive
"Extremely dissatisfied with this item.",negative
"Such an amazing deal, I’m thrilled!",positive
"Really regret this purchase, very bad.",negative
"Love it, definitely buying again.",positive
"Unhappy with the purchase, very disappointed.",negative
"Very high quality, I love it.",positive
"Such a poor purchase, would not recommend.",negative
"Absolutely fantastic, don’t hesitate to buy!",positive
"Such a scam, it doesn’t even work.",negative
"Very pleased with the quality and performance.",positive
"Disappointing, would never buy again.",negative
"Great product, amazing features!",positive
"Total failure, don’t waste your money.",negative
"Really impressed with the results!",positive
"Terrible experience, completely unsatisfied.",negative
"Love the product, so much better than expected.",positive
"Awful purchase, do not buy it.",negative
"Perfect, just as described!",positive
"Such a mistake to buy this, very bad.",negative
"Totally worth the money, highly recommend.",positive
"Very bad purchase, completely regret it.",negative
"Fantastic quality, I would buy again!",positive
"Completely useless, don’t buy it.",negative
"Love the design, so happy with it.",positive
"Horrible, does not live up to expectations.",negative
"Completely worth it, great quality!",positive
"Terrible product, I’m very disappointed.",negative
"Great experience, I will buy again.",positive
"Not happy with this purchase at all.",negative
"Excellent quality and easy to use!",positive
"Very disappointed, does not work as described.",negative
"Highly recommend this to anyone!",positive
"Such a poor item, doesn’t work properly.",negative
"Absolutely love it, I’m very happy!",positive
"Awful, do not waste your time or money.",negative
